;id;loan_amnt;int_rate;grade;emp_title;emp_length;home_ownership;annual_inc;loan_status
0;68407277;3600;13.99;C;leadman;10;MORTGAGE;55000;Fully Paid
1;68355089;24700;11.99;C;Engineer;10;MORTGAGE;65000;Fully Paid
2;68341763;20000;10.78;B;truck driver;10;MORTGAGE;63000;Fully Paid
3;66310712;35000;14.85;C;Information Systems Officer;10;MORTGAGE;110000;Current
4;68476807;10400;22.45;F;Contract Specialist;3;MORTGAGE;104433;Fully Paid
5;68426831;11950;13.44;C;Veterinary Tecnician;4;RENT;34000;Fully Paid
6;68476668;20000;9.17;B;Vice President of Recruiting Operations;10;MORTGAGE;180000;Fully Paid
7;67275481;20000;8.49;B;road driver;10;MORTGAGE;85000;Fully Paid
8;68466926;10000;6.49;A;SERVICE MANAGER;6;RENT;85000;Fully Paid
9;68616873;8000;11.48;B;Vendor liaison;10;MORTGAGE;42000;Fully Paid
10;68356421;22400;12.88;C;Executive Director;6;MORTGAGE;95000;Current
11;68426545;16000;12.88;C;Senior Structural Designer;1;MORTGAGE;70000;Current
12;68338832;1400;12.88;C;Logistics Manager;3;MORTGAGE;64000;Fully Paid
13;66624733;18000;19.48;E;Software Manager;7;RENT;150000;Charged Off
14;68466961;28000;6.49;A;Senior Manager;10;MORTGAGE;92000;Fully Paid
15;68354783;9600;7.49;A;tech;8;MORTGAGE;60000;Fully Paid
16;68466916;25000;7.49;A;Sales Manager;10;MORTGAGE;109000;Fully Paid
17;68577849;18000;11.99;C;GS-11;10;MORTGAGE;112000;Fully Paid
18;68506798;23000;8.49;B;Teacher;5;RENT;64000;Current
19;68495092;8650;19.89;E;Program Coordinator ;8;RENT;55000;Fully Paid
20;68566886;29900;12.88;C;Corporate Insurance;10;MORTGAGE;65000;Fully Paid
21;68009401;16000;14.85;C;Bookkeeper/Accounting;10;MORTGAGE;48000;Fully Paid
22;68476702;28000;13.44;C;Director of Product Development ;2;OWN;125000;Fully Paid
23;68436666;5000;13.44;C;General Manager;2;RENT;79000;Fully Paid
24;68476715;6000;7.49;A;Analyst;10;MORTGAGE;100000;Fully Paid
25;67849662;4225;14.85;C;mechanic;5;RENT;35000;Charged Off
26;68596180;20000;5.32;A;driver;9;OWN;65000;Fully Paid
27;68526907;16000;17.97;D;Professional Sales Associate;0;MORTGAGE;109000;Fully Paid
28;68607141;17600;5.32;A;Network Security Specialist III;0;MORTGAGE;88000;Fully Paid
29;68526883;15000;5.32;A;DEPUTY SHERIFF;10;MORTGAGE;44000;Fully Paid
30;67715283;16000;12.88;C;Owner, Fee Appraiser ;10;MORTGAGE;65000;Charged Off
31;68341789;24250;24.24;F;hvac technician;4;MORTGAGE;75000;Charged Off
32;68533595;12000;10.78;B;Public Affairs Specialist ;1;RENT;98000;Fully Paid
33;68415473;25000;13.99;C;Executive Assistant;9;MORTGAGE;79000;Charged Off
34;68537655;16800;12.88;C;CEO;10;MORTGAGE;118000;Current
35;68446769;7000;7.49;A;Carrier;10;MORTGAGE;59000;Fully Paid
36;68367011;21000;13.99;C;Resident physician;0;RENT;52000;Fully Paid
37;68407301;27500;14.85;C;Manager;10;MORTGAGE;195000;Fully Paid
38;68356614;7200;11.48;B;Legal Administrative Assistant;10;MORTGAGE;72500;Fully Paid
39;68426865;20000;14.85;C;GM;6;RENT;110000;Fully Paid
40;68476676;20000;15.77;D;Clinical Intake;5;RENT;70000;Fully Paid
41;68566951;10000;17.97;D;Educator ;2;MORTGAGE;55000;Charged Off
42;68615044;16000;13.99;C;Registered Nurse;9;MORTGAGE;142000;Current
43;68527009;20000;9.8;B;Manager;5;RENT;75000;Fully Paid
44;68547583;8650;5.32;A;Associate Consultant;0;MORTGAGE;100000;Fully Paid
45;68587709;21000;13.44;C;Teacher;2;RENT;54649;Fully Paid
46;68446771;7200;15.77;D;Bank Officer Senior Customer Care Spec.;0;RENT;55000;Fully Paid
47;66796130;8800;9.8;B;Sales Representative/ Agent;10;MORTGAGE;92000;Fully Paid
48;68617034;14650;20.5;E;Senior Service Specialist;2;RENT;43160;Current
49;68387134;2500;17.27;D;Teacher;10;MORTGAGE;50000;Fully Paid
50;68566925;11000;9.17;B;PRINTER;10;MORTGAGE;69000;Fully Paid
51;68516838;23850;17.27;D;Teacher;10;OWN;68046;Current
52;68476697;15700;16.59;D;Teacher;6;MORTGAGE;48000;Current
53;68566856;28800;11.99;C;Office Manager;10;OWN;60000;Current
54;68543413;10000;12.88;C;Contract Specialist;4;MORTGAGE;91392;Fully Paid
55;68366663;24000;9.8;B;;;OWN;77900;Current
56;68416916;28000;18.49;D;Engineer;10;MORTGAGE;75000;Fully Paid
57;68444620;35000;11.99;C;Foreign Service Officer;10;MORTGAGE;128000;Fully Paid
58;68082535;7200;9.17;B;Site lead;10;MORTGAGE;50000;Fully Paid
59;68466995;10000;7.91;A;Teacher;2;RENT;40100;Fully Paid
60;68584507;16000;13.44;C;Merchandise Manager;1;RENT;42000;Charged Off
61;68466924;21875;11.99;C;Wire Technician;0;RENT;47590;Fully Paid
62;68367009;14025;18.49;D;accts payable;10;MORTGAGE;39000;Fully Paid
63;68475450;35000;12.88;C;Lieutenant ;7;MORTGAGE;106000;Charged Off
64;68525943;20000;12.88;C;President;10;MORTGAGE;145000;Fully Paid
65;68340446;14000;14.85;C;Accountant;2;MORTGAGE;60000;Charged Off
66;68615169;16000;8.49;B;Supervisor;5;MORTGAGE;62000;In Grace Period
67;68397043;28000;14.85;C;Division General Manager;2;MORTGAGE;85000;Current
68;68506862;20000;13.99;C;Facilities Coordinator;10;OWN;70000;Charged Off
69;68341799;17600;19.89;E;RN;0;RENT;44000;Current
70;68487261;4200;13.44;C;Manager;10;MORTGAGE;102500;Fully Paid
71;68597047;19000;14.85;C;Application Analyst;9;OWN;75000;Fully Paid
72;68366999;15850;23.13;F;Lead manufacturing ;10;OWN;45000;Fully Paid
73;68506885;10000;11.99;C;CARDIOVASCULAR TECH;10;RENT;42500;Current
74;68394562;30000;15.77;D;Vice-President;2;MORTGAGE;175000;Fully Paid
75;68416953;1500;6.49;A;;;MORTGAGE;45000;Fully Paid
76;68587652;25000;5.32;A;Director;1;MORTGAGE;150000;Fully Paid
77;68407333;16250;13.44;C;Radiology Tech.;2;MORTGAGE;50000;Current
78;68466066;20200;18.49;D;Manager;4;RENT;60000;Charged Off
79;68436934;23975;19.89;E;Principal;10;RENT;70000;Charged Off
80;68617057;15000;10.78;B;Senior Buyer;10;MORTGAGE;65000;Fully Paid
81;68536799;10000;10.78;B;Lpn;3;MORTGAGE;41600;Fully Paid
82;68357012;15000;8.49;B;Senior Associate;6;MORTGAGE;110000;Fully Paid
83;68376217;23100;20.5;E;Regional Sales Direcdtor;2;OWN;110000;Charged Off
84;68526942;27300;17.27;D;groundsman;10;MORTGAGE;65000;Charged Off
85;68396080;25000;11.48;B;Project Manager;10;MORTGAGE;135000;Fully Paid
86;68385794;15000;10.78;B;Coaching General Manager;1;RENT;40000;Fully Paid
87;68374676;10000;16.59;D;Emergency Department technician ;0;RENT;30000;Fully Paid
88;68547679;18500;12.88;C;Supply Chain Coord.;10;MORTGAGE;70000;Fully Paid
89;68537594;5000;7.91;A;Property Manager;6;RENT;32000;Fully Paid
90;68565856;9000;9.17;B;Truck Driver;1;OWN;50000;Fully Paid
91;68367006;11000;6.49;A;material handler lead;10;MORTGAGE;85000;Fully Paid
92;68426699;20000;6.49;A;TEAM LEAD, QUALITY ENGINEER;6;MORTGAGE;55000;Fully Paid
93;68377020;15000;5.32;A;;;RENT;80000;Fully Paid
94;68446746;12000;5.32;A;Network Operation Engineer;4;MORTGAGE;53750;Fully Paid
95;68537564;8000;10.78;B;Counselor;0;MORTGAGE;45000;Fully Paid
96;68446784;12000;10.78;B;Salesman;3;RENT;40000;Fully Paid
97;68376533;18000;7.49;A;Systems Support Engineer;5;MORTGAGE;75000;Fully Paid
98;68476714;3600;11.48;B;Systems Administrator;0;MORTGAGE;85000;Fully Paid
99;66615254;7200;17.27;D;Department Manager ;9;OWN;20000;Charged Off
100;68396484;15000;13.44;C;Counselor;4;RENT;77213;Fully Paid
101;68416256;5000;9.8;B;Accounts Payable Manager;6;OWN;72000;Fully Paid
102;68446093;11550;16.59;D;general manager;5;RENT;38000;Charged Off
103;66583801;33600;10.78;B;Aviation Safety Inspector;8;RENT;104000;Fully Paid
104;68466922;17925;17.27;D;IT Help Desk Support ;10;OWN;39000;Current
105;68585839;17475;13.99;C;Software Testing Analyst;2;RENT;39750;Charged Off
106;68476734;9000;8.49;B;Office Manager;8;MORTGAGE;47000;Fully Paid
107;68506789;12000;9.8;B;Teacher;10;MORTGAGE;65000;Fully Paid
108;68506793;4000;9.17;B;Store Manager;2;RENT;44500;Fully Paid
109;68496036;10500;15.77;D;Software Engineer;3;RENT;70100;Fully Paid
110;68516507;14000;9.8;B;Master mechanic;4;MORTGAGE;100000;Fully Paid
111;68377006;6000;7.91;A;Road driver;10;MORTGAGE;105000;Fully Paid
112;68436917;16000;12.88;C;Unix System Administrator;10;OWN;90000;Current
113;68416935;15000;9.8;B;Electronic Branch Manager;3;MORTGAGE;92000;Fully Paid
114;68606528;12000;9.17;B;Registered Veterinary Technitian ;4;MORTGAGE;39400;Fully Paid
115;68446820;10000;11.48;B;Paralegal;2;RENT;33000;Fully Paid
116;68356922;4200;13.99;C;Patrol Officer;2;RENT;32000;Fully Paid
117;68566702;35000;20.5;E;Director, Human Resources;8;MORTGAGE;120000;Fully Paid
118;68426668;5475;18.99;E;Captain;10;MORTGAGE;108000;Charged Off
119;68008783;16000;7.91;A;Project Supervisor;2;MORTGAGE;60000;Current
120;68603265;6000;13.44;C;machine operation ;3;OWN;38700;Fully Paid
121;68546562;24000;9.17;B;Accounting Manager;10;MORTGAGE;75000;Fully Paid
122;68387003;10000;12.88;C;Truck Driver;0;RENT;60000;Fully Paid
123;68453388;6900;19.89;E;Teacher;10;RENT;80000;Fully Paid
124;68436772;22400;9.8;B;CNC Machinist;10;MORTGAGE;48000;Current
125;68356797;15975;16.59;D;Director;4;MORTGAGE;58800;Fully Paid
126;67799534;21600;13.44;C;machines;9;MORTGAGE;54000;Fully Paid
127;68366973;24000;13.99;C;Pastor;8;RENT;82193;Current
128;68376942;14400;19.48;E;GS12;3;RENT;73320;Charged Off
129;68339735;8000;13.99;C;District Manager;0;RENT;42000;Fully Paid
130;67355663;7000;13.99;C;Outside Account Manager;2;RENT;83000;Fully Paid
131;68407187;20000;10.78;B;Driver;0;OWN;55000;Fully Paid
132;68476511;25825;26.06;F;Claims Rep ;6;RENT;68000;Charged Off
133;68366965;24575;22.45;F;Service Delivery Manager;10;MORTGAGE;92000;Fully Paid
134;67267171;3200;8.49;B;Custodian;10;RENT;30407;Fully Paid
135;68406292;22875;15.77;D;Athletic Director;10;MORTGAGE;137000;Fully Paid
136;68616867;16000;14.85;C;Billing Supervisor;10;MORTGAGE;80000;Current
137;68547447;35000;13.44;C;Account executive;0;MORTGAGE;125000;Fully Paid
138;68547538;2400;17.27;D;nurse;2;MORTGAGE;52000;Fully Paid
139;68516545;25000;7.49;A;;;MORTGAGE;132000;Fully Paid
140;68426681;8800;12.88;C;Desktop Support Anylist;2;RENT;55000;Fully Paid
141;68446591;2500;11.48;B;;;RENT;16488;Fully Paid
142;68596872;8000;5.32;A;Sales Person;1;RENT;50000;Fully Paid
143;68376953;20000;11.99;C;Professor;10;MORTGAGE;78000;Charged Off
144;68476522;35000;12.88;C;Cosmetologist Manager;10;MORTGAGE;110000;Charged Off
145;68537498;15000;7.49;A;;;MORTGAGE;45000;Fully Paid
146;68496996;16000;15.77;D;President;1;MORTGAGE;70000;Charged Off
147;68375899;10800;13.99;C;Medical Support Assistant;3;RENT;40000;Fully Paid
148;68433333;7500;17.97;D;Owner/Operator;10;OWN;15000;Fully Paid
149;68376899;16000;10.78;B;Bartender;5;RENT;63000;Charged Off
150;68416736;9000;5.32;A;Accounting senior;10;MORTGAGE;49000;Fully Paid
151;68339774;9500;15.77;D;maintenance ;10;RENT;28000;Fully Paid
152;68376501;10000;7.91;A;Medical Coder/biller;2;OWN;25000;Charged Off
153;68566760;6000;7.91;A;Teacher;10;MORTGAGE;49000;Fully Paid
154;68487157;15600;13.44;C;Officer / Sheriff's office;10;MORTGAGE;52000;Fully Paid
155;68487073;35000;8.49;B;Paralegal;0;OWN;90000;Fully Paid
156;68132441;5000;11.48;B;Financial Systems Analyst;9;MORTGAGE;78000;Fully Paid
157;68356747;20400;18.49;D;Pilot;2;MORTGAGE;75000;Fully Paid
158;68192805;8000;17.97;D;;;MORTGAGE;33130;Charged Off
159;68426783;16000;10.78;B;Veterinarian;3;RENT;87500;Fully Paid
160;68376848;18000;7.91;A;Mechanic;10;MORTGAGE;80000;Charged Off
161;68537213;35000;9.17;B;Director;1;RENT;105000;Fully Paid
162;68393340;13150;5.32;A;Paraprofessional ;1;RENT;40000;Fully Paid
163;68486949;5600;9.17;B;Business Coordinator III;8;RENT;48000;Fully Paid
